Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
99,Saturday Jul 20,boxscore,ARI,,MIL,L,3,8,,50-49,2,15.0,Houser,Chafin,,3:17,N,38567,.93,-,
100,Sunday Jul 21,boxscore,ARI,,MIL,L,4,7,,50-50,2,16.0,Peralta,López,Hader,3:39,D,33111,.87,--,
101,Monday Jul 22,boxscore,ARI,,BAL,W,6,3,,51-50,2,15.5,Ray,Brooks,Holland,2:55,N,19192,.68,+,
102,Tuesday Jul 23,boxscore,ARI,,BAL,L,2,7,,51-51,3,15.5,Bundy,Kelly,,2:57,N,20253,.75,-,
103,Wednesday Jul 24,boxscore,ARI,,BAL,W,5,2,,52-51,2,14.5,Clarke,Means,López,3:24,D,20452,.67,+,
104,Friday Jul 26,boxscore,ARI,@,MIA,L-wo,2,3,,52-52,3,15.5,Quijada,Holland,,3:10,N,8867,.71,-,
105,Saturday Jul 27,boxscore,ARI,@,MIA,W,9,2,,53-52,2,15.5,Young,Yamamoto,,2:49,N,13047,.65,+,
106,Sunday Jul 28,boxscore,ARI,@,MIA,L,1,5,,53-53,3,15.5,Quijada,Ray,,3:11,D,11538,.76,-,
107,Monday Jul 29,boxscore,ARI,@,MIA,L,6,11,,53-54,3,15.5,Smith,Kelly,,2:59,N,7048,.68,--,
108,Tuesday Jul 30,boxscore,ARI,@,NYY,W,4,2,,54-54,3,15.5,Clarke,Happ,Bradley,3:10,N,47281,.61,+,
109,Wednesday Jul 31,boxscore,ARI,@,NYY,L,5,7,,54-55,3,16.5,Ottavino,Hirano,Chapman,3:43,D,43979,.70,-,
110,Friday Aug 2,boxscore,ARI,,WSN,L,0,3,,54-56,3,17.0,Ross,Young,Doolittle,2:43,N,24298,.71,--,
111,Saturday Aug 3,boxscore,ARI,,WSN,W,18,7,,55-56,3,17.0,Ray,Strasburg,,3:46,N,33966,.64,+,
112,Sunday Aug 4,boxscore,ARI,,WSN,W,7,5,,56-56,2,17.0,Hirano,Suero,Bradley,3:07,D,22976,.73,++,
113,Monday Aug 5,boxscore,ARI,,PHI,L,3,7,,56-57,2,18.0,Velasquez,Kelly,,3:05,N,18319,.83,-,
114,Tuesday Aug 6,boxscore,ARI,,PHI,W,8,4,,57-57,2,18.0,Chafin,Suárez,,3:19,N,17446,.70,+,
115,Wednesday Aug 7,boxscore,ARI,,PHI,W,6,1,,58-57,2,18.0,Gallen,Vargas,,3:10,N,18140,.79,++,
116,Friday Aug 9,boxscore,ARI,@,LAD,W,3,2,11,59-57,2,17.0,Chafin,Urías,Bradley,3:49,N,49538,.73,+++,
117,Saturday Aug 10,boxscore,ARI,@,LAD,L,0,4,,59-58,2,18.0,Maeda,Young,,3:18,N,52606,.81,-,
118,Sunday Aug 11,boxscore,ARI,@,LAD,L,3,9,,59-59,2,19.0,Ryu,Leake,,2:40,D,44619,.72,--,
119,Monday Aug 12,boxscore,ARI,@,COL,W,8,6,,60-59,2,18.5,Kelly,Bettis,Bradley,3:30,N,32160,.67,+,
120,Tuesday Aug 13,boxscore,ARI,@,COL,W,9,3,,61-59,2,18.5,Ginkel,Hoffman,,3:32,N,31815,.75,++,
121,Wednesday Aug 14,boxscore,ARI,@,COL,L-wo,6,7,,61-60,2,19.5,Oberg,Bradley,,3:25,D,32247,.82,-,
122,Thursday Aug 15,boxscore,ARI,,SFG,L,0,7,,61-61,2,19.5,Rodríguez,Young,,2:44,N,19037,.74,--,
123,Friday Aug 16,boxscore,ARI,,SFG,L,9,10,11,61-62,3,20.5,Smith,López,Gott,4:05,N,23642,.66,---,
124,Saturday Aug 17,boxscore,ARI,,SFG,L,6,11,,61-63,3,20.5,Webb,Clarke,,3:40,N,35366,.53,----,
125,Sunday Aug 18,boxscore,ARI,,SFG,W,6,1,,62-63,3,19.5,Kelly,Bumgarner,,3:19,D,26079,.43,+,
126,Monday Aug 19,boxscore,ARI,,COL,W,5,3,,63-63,3,19.0,López,Davis,Bradley,2:51,N,15443,.44,++,
127,Tuesday Aug 20,boxscore,ARI,,COL,W,8,7,,64-63,2,19.0,Young,Freeland,Bradley,3:13,N,17691,.51,+++,
128,Wednesday Aug 21,boxscore,ARI,,COL,L,2,7,,64-64,2,20.0,Melville,Leake,,2:50,D,17707,.59,-,
129,Friday Aug 23,boxscore,ARI,@,MIL,L,1,6,,64-65,2,20.5,Lyles,Kelly,,3:06,N,42209,.39,--,
130,Saturday Aug 24,boxscore,ARI,@,MIL,L,0,4,,64-66,3,21.5,Anderson,Gallen,,3:29,N,41737,.33,---,
131,Sunday Aug 25,boxscore,ARI,@,MIL,W,5,2,,65-66,3,20.5,Ray,Davies,Bradley,3:44,D,38920,.24,+,
132,Monday Aug 26,boxscore,ARI,@,SFG,W,6,4,,66-66,2,19.5,Young,Beede,Bradley,3:30,N,29169,.32,++,
133,Tuesday Aug 27,boxscore,ARI,@,SFG,W,3,2,,67-66,2,19.5,Leake,Coonrod,Bradley,2:46,N,28262,.40,+++,
134,Thursday Aug 29,boxscore,ARI,,LAD,W,11,5,,68-66,2,19.0,Andriese,Ryu,,3:23,N,22581,.44,++++,
135,Friday Aug 30,boxscore,ARI,,LAD,W,5,4,,69-66,2,18.0,Bradley,Garcia,,3:41,N,34149,.52,+++++,
136,Saturday Aug 31,boxscore,ARI,,LAD,W,6,5,,70-66,2,17.0,Ray,Kershaw,Bradley,3:11,N,50180,.61,++++++,
137,Sunday Sep 1,boxscore,ARI,,LAD,L,3,4,11,70-67,2,18.0,Sadler,Clarke,Báez,3:56,D,34439,.70,-,
138,Monday Sep 2,boxscore,ARI,,SDP,W,14,7,,71-67,2,18.0,Leake,Quantrill,,3:26,D,23477,.57,+,
139,Tuesday Sep 3,boxscore,ARI,,SDP,W,2,1,,72-67,2,18.0,Kelly,Bolaños,Bradley,3:08,N,15402,.64,++,
140,Wednesday Sep 4,boxscore,ARI,,SDP,W,4,1,,73-67,2,18.0,Gallen,Stammen,Bradley,2:55,N,18096,.64,+++,
141,Friday Sep 6,boxscore,ARI,@,CIN,W,7,5,,74-67,2,17.0,Ginkel,Mahle,Bradley,4:10,N,19048,.82,++++,
142,Saturday Sep 7,boxscore,ARI,@,CIN,W,2,0,,75-67,2,16.0,Young,Castillo,Sherfy,2:39,D,34804,1.10,+++++,
143,Sunday Sep 8,boxscore,ARI,@,CIN,L-wo,3,4,,75-68,2,17.0,Iglesias,López,,3:12,D,19717,1.31,-,
144,Monday Sep 9,boxscore,ARI,@,NYM,L,1,3,,75-69,2,17.5,deGrom,Kelly,Lugo,2:45,N,21337,1.23,--,
145,Tuesday Sep 10,boxscore,ARI,@,NYM,L,2,3,,75-70,2,18.5,Wheeler,Gallen,Wilson,3:02,N,20843,1.01,---,
146,Wednesday Sep 11,boxscore,ARI,@,NYM,L,0,9,,75-71,2,18.5,Matz,Ray,,3:06,N,21841,.88,----,
147,Thursday Sep 12,boxscore,ARI,@,NYM,L,1,11,,75-72,2,19.5,Stroman,Young,,3:25,D,21856,.71,-----,
148,Friday Sep 13,boxscore,ARI,,CIN,L,3,4,,75-73,2,20.5,Castillo,Leake,Iglesias,2:48,N,35158,.28,------,
149,Saturday Sep 14,boxscore,ARI,,CIN,W,1,0,,76-73,2,19.5,Kelly,DeSclafani,Bradley,2:15,N,35151,.17,+,
