Rk,Team,Date,,Opp,Result,PA,AB,R,H,1B,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB
38,ARI,2021-05-13,,MIA,L 1-5,35,30,1,5,4,1,0,0,1,1,0,3,10,.167,.235,.200,.435,6,0,0,1,1,0
39,ARI,2021-05-14,,WSN,L 2-17,33,32,2,6,4,2,0,0,2,0,0,1,9,.188,.212,.250,.462,8,1,0,0,0,0
40,ARI,2021-05-15,,WSN,W 11-4,40,36,11,12,8,1,0,3,10,0,0,3,11,.333,.400,.611,1.011,22,0,1,0,0,1
41,ARI,2021-05-16,,WSN,L 0-3,32,30,0,4,3,1,0,0,0,0,0,2,8,.133,.188,.167,.354,5,1,0,0,0,0
42,ARI,2021-05-17,@,LAD,L 1-3,36,30,1,4,4,0,0,0,1,0,0,6,7,.133,.278,.133,.411,4,1,0,0,0,0
43,ARI,2021-05-18,@,LAD,L 1-9,31,30,1,3,2,1,0,0,1,0,0,0,10,.100,.129,.133,.262,4,0,1,0,0,0
44,ARI,2021-05-19,@,LAD,L 2-4,32,29,2,2,0,1,0,1,2,0,1,2,11,.069,.156,.207,.363,6,0,1,0,0,0
45,ARI,2021-05-20,@,LAD,L 2-3,34,33,2,7,3,3,0,1,2,0,1,1,14,.212,.235,.394,.629,13,1,0,0,0,0
46,ARI,2021-05-21,@,COL,L 1-7,37,32,1,7,5,2,0,0,1,0,0,4,9,.219,.297,.281,.579,9,1,0,0,1,0
47,ARI,2021-05-22,@,COL,L 6-7,43,37,6,12,6,5,0,1,6,0,0,4,7,.324,.395,.541,.936,20,1,1,0,1,0
48,ARI,2021-05-23,@,COL,L 3-4,34,30,3,4,1,2,0,1,3,0,0,3,9,.133,.206,.300,.506,9,0,0,0,1,0
49,ARI,2021-05-25,,SFG,L 0-8,38,36,0,9,5,4,0,0,0,0,0,2,15,.250,.289,.361,.651,13,0,0,0,0,0
50,ARI,2021-05-26,,SFG,L 4-5,39,38,4,13,11,2,0,0,4,0,0,0,7,.342,.342,.395,.737,15,1,0,1,0,0
51,ARI,2021-05-27,,STL,L 4-5 (10),40,36,4,7,4,3,0,0,4,1,0,3,11,.194,.275,.278,.553,10,0,1,0,0,0
